,^BVSP
^BVSP,1.0
SELIC %d,-0.0034235113418469992
CDI %d,-0.0031027994856482983
^BVSP(-1),-0.07050771234348788
gt Ibovespa(-1),0.07482490336710992
gt Bolsa de Valores(-1),0.06677816971999899
gt Ações(-1),0.03510861806437614
gt Dividendos(-1),0.011639535133289686
gt Renda Fixa(-1),0.00330909643076453
gt Inflação(-1),-0.014396587695475924
gt CDI(-1),0.006281287779465951
gt Dolar(-1),0.047792272536118376
gt Bitcoin(-1),-0.00011400448306849269
gt Renda Variável(-1),0.008378012513503043
