,ITUB4.SA,PETR4.SA,SANB11.SA,BBAS3.SA,BBDC4.SA,^BVSP,BRL=X
2010-03-26 00:00:00,9.914726257324219,10.94986343383789,9.447394371032715,12.251952171325684,6.1110663414001465,71136.0,1.7654000520706177
2010-04-02 00:00:00,10.112009048461914,10.968239784240723,9.184261322021484,12.58908748626709,6.1110663414001465,71785.0,1.7730000019073486
2010-04-09 00:00:00,10.0133638381958,10.291339874267578,8.955077171325684,12.704202651977539,6.1139349937438965,70524.0,1.75
2010-04-16 00:00:00,9.585916519165039,10.370973587036133,8.585840225219727,12.198506355285645,6.1139349937438965,69386.0,1.7634999752044678
2010-04-23 00:00:00,9.560623168945312,10.113690376281738,8.322708129882812,12.334175109863281,6.1139349937438965,67978.0,1.7309999465942383
2010-04-30 00:00:00,9.166056632995605,9.166559219360352,8.301482200622559,11.429673194885254,6.1139349937438965,63414.0,1.8341000080108643
2010-05-07 00:00:00,9.247408866882324,9.224985122680664,8.696187019348145,11.310446739196777,6.1168036460876465,64788.0,1.7699999809265137
2010-05-14 00:00:00,8.392247200012207,8.434711456298828,8.021376609802246,10.401825904846191,6.1168036460876465,58192.0,1.8847999572753906
2010-05-21 00:00:00,8.549115180969238,8.551559448242188,8.254799842834473,10.874635696411133,6.1168036460876465,62092.0,1.815999984741211
2010-05-28 00:00:00,8.845131874084473,9.00373363494873,8.080789566040039,11.144402503967285,6.1168036460876465,62943.0,1.8193999528884888
2010-06-04 00:00:00,8.706456184387207,9.25125789642334,8.276022911071777,11.165261268615723,6.11967658996582,63049.0,1.8122999668121338
2010-06-11 00:00:00,8.893746376037598,9.133684158325195,8.420320510864258,11.365540504455566,6.11967658996582,64541.0,1.7854000329971313
2010-06-18 00:00:00,8.693801879882812,8.50558853149414,8.912637710571289,11.419780731201172,6.11967658996582,63937.0,1.778499960899353
2010-06-25 00:00:00,8.602689743041992,8.183808326721191,7.928001403808594,10.9149169921875,6.11967658996582,61236.0,1.7989000082015991
2010-07-02 00:00:00,9.39327621459961,8.533435821533203,8.884613990783691,11.553292274475098,6.148515701293945,63476.0,1.7683000564575195
2010-07-09 00:00:00,9.367959022521973,8.388014793395996,9.072465896606445,11.987222671508789,5.822009086608887,63489.0,1.7699999809265137
2010-07-16 00:00:00,9.646472930908203,8.657200813293457,9.499403953552246,12.133256912231445,6.066079616546631,65748.0,1.760200023651123
2010-07-23 00:00:00,9.983203887939453,8.582940101623535,9.755571365356445,12.475386619567871,6.387539863586426,66954.0,1.764799952507019
2010-07-30 00:00:00,9.598363876342773,9.105840682983398,9.747028350830078,12.517114639282227,6.300225734710693,68412.0,1.7525999546051025
2010-08-06 00:00:00,9.535433769226074,8.570279121398926,9.618949890136719,12.663141250610352,6.154158592224121,65966.0,1.7684999704360962
2010-08-13 00:00:00,9.575115203857422,8.336799621582031,9.725680351257324,12.183323860168457,6.203789234161377,66887.0,1.7488000392913818
2010-08-20 00:00:00,9.088717460632324,8.000588417053223,9.213356018066406,11.8455171585083,5.8663010597229,63867.0,1.7648999691009521
2010-08-27 00:00:00,9.651512145996094,8.592069625854492,9.392670631408691,12.160563468933105,6.116441249847412,66808.0,1.7400000095367432
2010-09-03 00:00:00,9.494093894958496,8.532920837402344,9.307280540466309,11.87492847442627,6.15307092666626,66624.0,1.7192000150680542
2010-09-10 00:00:00,9.909316062927246,8.206048965454102,9.33289909362793,12.391593933105469,6.39538049697876,67663.0,1.7211999893188477
2010-09-17 00:00:00,9.922046661376953,8.343025207519531,9.268857955932617,13.00067138671875,6.494685649871826,68794.0,1.674299955368042
2010-09-24 00:00:00,10.309256553649902,8.495564460754395,9.789693832397461,13.586305618286133,6.736991882324219,69430.0,1.7035000324249268
2010-10-01 00:00:00,10.59201431274414,7.876063346862793,10.498161315917969,13.78926944732666,6.917731761932373,69918.0,1.684000015258789
2010-10-08 00:00:00,10.79135799407959,8.230956077575684,10.738607406616211,14.516580581665039,7.17698335647583,71692.0,1.652500033378601
2010-10-15 00:00:00,10.704717636108398,7.521172523498535,10.365052223205566,14.174071311950684,7.014051914215088,69652.0,1.6749999523162842
2010-10-22 00:00:00,10.48303508758545,8.174918174743652,10.519627571105957,14.102177619934082,6.922651767730713,70320.0,1.718999981880188
2010-10-29 00:00:00,11.025789260864258,8.560942649841309,11.026290893554688,14.791439056396484,7.322033882141113,72996.0,1.6890000104904175
2010-11-05 00:00:00,10.7052640914917,8.362316131591797,10.420872688293457,14.25864315032959,7.0765204429626465,71195.0,1.7100000381469727
2010-11-12 00:00:00,10.580381393432617,8.105688095092773,10.373640060424805,14.478525161743164,6.951286792755127,70781.0,1.726199984550476
2010-11-19 00:00:00,10.315291404724121,7.777080535888672,10.077374458312988,13.911903381347656,6.863826751708984,69362.0,1.722000002861023
2010-11-26 00:00:00,10.233736038208008,7.949207305908203,10.025850296020508,14.21666145324707,6.887677192687988,69527.0,1.705899953842163
2010-12-03 00:00:00,9.788117408752441,7.949207305908203,9.6866455078125,13.159643173217773,6.472987174987793,67879.0,1.6920000314712524
2010-12-10 00:00:00,9.724380493164062,7.933559894561768,9.416141510009766,13.053515434265137,6.471030235290527,67306.0,1.6988999843597412
2010-12-17 00:00:00,10.027788162231445,8.058744430541992,9.43760871887207,13.17662239074707,6.62332010269165,68486.0,1.6990000009536743
2010-12-24 00:00:00,10.145076751708984,8.607504844665527,9.726297378540039,13.42647647857666,6.609151840209961,69305.0,1.6779999732971191
2010-12-31 00:00:00,10.10682201385498,8.550732612609863,9.558089256286621,13.546128273010254,6.690123081207275,70579.0,1.6749999523162842
2011-01-07 00:00:00,10.269397735595703,8.613815307617188,9.55377197265625,13.503396987915039,6.672815799713135,70721.0,1.6246999502182007
2011-01-14 00:00:00,9.536238670349121,8.60119915008545,8.915414810180664,13.19999885559082,6.452080249786377,69562.0,1.6699999570846558
2011-01-21 00:00:00,9.510603904724121,8.475035667419434,8.71269416809082,13.247000694274902,6.486501693725586,68051.0,1.618299961090088
2011-01-28 00:00:00,9.072248458862305,8.840909004211426,8.104530334472656,12.584648132324219,6.077425956726074,66765.0,1.6627000570297241
2011-02-04 00:00:00,8.913744926452637,8.478187561035156,8.156292915344238,12.067586898803711,6.0377349853515625,64578.0,1.6619999408721924
2011-02-11 00:00:00,9.798458099365234,8.594887733459473,8.75151538848877,13.345287322998047,6.0377349853515625,67685.0,1.6690000295639038
2011-02-18 00:00:00,9.352251052856445,9.055386543273926,8.540169715881348,12.563284873962402,6.0555644035339355,66949.0,1.6710000038146973
2011-02-25 00:00:00,9.54458236694336,9.134238243103027,8.583297729492188,12.7588472366333,6.0555644035339355,68146.0,1.6541999578475952
2011-03-04 00:00:00,8.93203067779541,8.869295120239258,8.164917945861816,12.098011016845703,6.143911361694336,66041.0,1.6547000408172607
2011-03-11 00:00:00,9.130867958068848,8.856678009033203,8.259807586669922,12.136882781982422,6.18050479888916,66216.0,1.6759999990463257
2011-03-18 00:00:00,9.558515548706055,8.967073440551758,8.518601417541504,12.396036148071289,6.454965114593506,67533.0,1.659999966621399
2011-03-25 00:00:00,10.082056045532227,9.003655433654785,8.497034072875977,12.858535766601562,6.597283840179443,68587.0,1.628499984741211
2011-04-01 00:00:00,9.965422630310059,8.88623046875,8.420561790466309,12.945569038391113,6.739595890045166,69176.0,1.6146999597549438
2011-04-08 00:00:00,9.551090240478516,8.24515151977539,7.868181228637695,12.30590534210205,6.435487270355225,66279.0,1.5920000076293945
2011-04-15 00:00:00,9.825907707214355,8.343535423278809,7.902973651885986,12.6322603225708,6.55549430847168,67058.0,1.569000005722046
2011-04-22 00:00:00,9.496652603149414,8.076945304870605,7.807286262512207,12.488666534423828,6.321581840515137,65673.0,1.566499948501587
2011-04-29 00:00:00,9.26850414276123,7.765929698944092,7.75944185256958,12.027403831481934,6.177175998687744,63407.0,1.6050000190734863
2011-05-06 00:00:00,9.50231647491455,7.846188068389893,7.9856157302856445,12.749755859375,6.422213554382324,64003.0,1.6198999881744385
2011-05-13 00:00:00,8.983627319335938,7.6060357093811035,7.520221710205078,11.85770034790039,6.074239730834961,62367.0,1.611299991607666
2011-05-20 00:00:00,9.302619934082031,7.786214828491211,7.781190872192383,12.227579116821289,6.320469856262207,64099.0,1.6265000104904175
